Category,Count,SourceID,Caveat
Product Issues,7663,S13,BBB complaint-channel count; not a DoorDash-wide defect rate.
Service or Repair Issues,6006,S13,BBB complaint-channel count; not a DoorDash-wide defect rate.
Delivery Issues,5002,S13,BBB complaint-channel count; not a DoorDash-wide defect rate.
Sales and Advertising Issues,1130,S13,BBB complaint-channel count; not a DoorDash-wide defect rate.
Billing Issues,989,S13,BBB complaint-channel count; not a DoorDash-wide defect rate.
Customer Service Issues,724,S13,BBB complaint-channel count; not a DoorDash-wide defect rate.
Order Issues,325,S13,BBB complaint-channel count; not a DoorDash-wide defect rate.
