MetricID,MetricName,Value,Unit,Period,SourceID
ORDERS_Q2_2026,Q2 2026 Total Orders,970000000,orders,2026 Q2,S1
GOV_Q2_2026,Q2 2026 Marketplace GOV,33078000000,USD,2026 Q2,S1
REV_Q2_2026,Q2 2026 Revenue,4500000000,USD,2026 Q2,S1
NYC_SETTLEMENT_TOTAL,NYC 2026 Settlement Total,131500000,USD,2026-09-22,S2
NYC_WORKER_POOL,NYC Worker Payment Pool,115000000,USD,2026-09-22,S2
NYC_WORKERS,Approx. Workers Slated for Payment,264000,workers,2026-09-22,S2
NYC_ONCALL_COMPONENT,Online/On-call Methodology Component,83000000,USD,2026-09-22,S2
NYC_MISSED_DELAYED,Missed/Delayed Payment Component,12300000,USD,2026-09-22,S2
